adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,caudate,cerebellum,cerebral cortex,cervix,colon,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
KIAA1217,ECPAS,C19orf53,GOLPH3,RBFA,RFX1,FKBP3,RBM23,OXCT1,MCM4,TNRC6B,DUOXA1,,VPS35L,DHODH,MPHOSPH10,STAMBP,,FOSB,VLDLR,,NCBP2,ABHD4,,BEX4,,PXMP4,DNAJC3,SGK3,KHDC4,FARSB,WDR83OS,XYLT1,SAMD10,,PANX1,STBD1,YAP1,,DNAH1,MBOAT7,HAND1,,SH3GLB1,GPN3,DNMT3L,KRT23,TRMT1,DYRK1B,HOMER2,PIM1,SCYL2,ANKRD54,,GNAI1,MTMR3,PRADC1,ABCB6
PLXDC2,SMC2,ASF1B,NPR3,MYL12A,LRRC41,PRMT5,VCPKMT,CYLD,ASAH1,EP300,SORD,,AAGAB,CCL17,TRERF1,PEX6,,SDCBP2,CEP78,,SLC41A3,KHNYN,,RUBCNL,,CHMP4B,ARHGEF7,RIPK2,ALDH3B2,ALMS1,GCDH,PYCARD,ATXN10,,ARHGEF17,MFSD1,TRIM29,,NKTR,MED1,PCDHB15,,CDC7,DUSP16,TRPM2,PSMD3,DMPK,PIAS4,EHD4,FRS3,CKAP2,EIF3L,,PEX1,TXN2,CCDC142,HDLBP
MTRF1,SLC2A8,RASAL3,TARS1,CEP192,RAF1,AP4S1,SOS2,ZNF586,NUCB1,ACO2,SLC27A2,,CSK,ZNF821,RRP36,H1-1,,PANK2,NTRK2,,ATP6V1A,FKBP3,,NALCN,,CST3,MRPS31,DECR1,MMACHC,BCL9,LENG1,MAZ,TUBGCP2,,CEP164,CPSF3,SQOR,,CLCN2,ATG4C,HAVCR1,,SCD,SCNN1A,C1orf216,ASPA,SNAPC2,POLR2I,TMEM87A,UQCC2,LRCH1,SNU13,,RBM48,FOXRED2,USP15,PPP1R7
ELF1,TLR4,ZNF419,SKP1,SMAD7,PPARG,VCPKMT,PYGL,ZNF446,GYS1,TRMU,TSPAN3,,TRIP4,PSMD7,H1-3,TREM1,,PSMF1,AOPEP,,ABTB1,AP4S1,,NDFIP2,,MAP1LC3A,KPNA3,BPNT2,NASP,DNAJC16,RPL18A,CDIPT,PAK4,,GALNT18,CCDC92,NUSAP1,,NEK4,OPA3,ARSB,,TMED1,LTBR,SYTL1,CDK5RAP3,C19orf53,SLC1A5,ZNF106,ANKRD42,EDNRB,POLR2F,,SRD5A3,GRAP2,FHOD1,HPCAL1
EXOSC8,GARNL3,SYDE1,PPP2CA,LAMA1,NUP210,PYGL,CGRRF1,RPS5,CLASRP,ABHD4,DNAJA4,,MTFMT,SLC38A7,NQO2,RIOK1,,ITPA,RSU1,,ACVR2B,VCPKMT,,ARHGEF7,,ACOT8,VWA8,NIPAL2,MUTYH,SCP2,PIK3R2,KNOP1,SHFL,,AMBRA1,MAPKAP1,KNL1,,ADAM23,PANK2,CLINT1,,RAB18,OGFOD2,ITGB3BP,GALK1,TIMM44,SIGLEC8,DTWD1,CREBZF,AOAH,CCDC134,,DGCR8,SGSM3,CAPN9,ODC1
SIL1,DMAC1,POP4,PPWD1,RNF125,ENOSF1,PSMC6,ATP6V1D,FAT1,PLEKHJ1,RBM23,CELF6,,RAB11A,VAC14,OARD1,RAB17,,TMEM74B,NRBF2,,PEX5L,PYGL,,FGF9,,ZNF516,DGKH,STK3,CTNNBL1,MRPL37,DDX49,LACTB,ZNF426,,CD81,VPS4B,ADAM10,,DGUOK,CENPB,IL12B,,NRP1,CDK2AP1,TINAGL1,SLC25A11,CCDC61,BABAM1,TJP1,PRCP,NACAD,DEPDC5,,GAL3ST1,PVALB,PIGC,PRKD3
TMPO,SIT1,PDCD5,TCERG1,POLI,SCLY,ATP6V1D,PLEK2,SMAP2,KLC3,SOS2,NTRK3,,HOMER2,TANGO6,UNC5CL,DOK4,,CITED1,MKI67,,DNAH1,PSMC6,,PARP4,,USP14,DHRS12,GDAP1,CHRM3,ICMT,LSR,CD276,UBE4B,,SOX6,YLPM1,GCHFR,,KANSL3,NKX2-2,SUB1,,TSPAN15,ARHGDIB,KIF2C,NUP88,VRK3,CDC37,BMF,GGH,ABHD17C,PICK1,,CDC42EP1,UPK3A,TTLL4,RMDN2
SOCS2,TMEM8B,RPS16,STC2,MIB1,PTPRE,VTI1B,PIGH,ZMPSTE24,TBC1D17,CDKL1,ZNF710,,CEP152,COG4,H1-1,TMTC4,,ARMCX5,BTBD10,,EIF4G1,CGRRF1,,SUPT20H,,VAPA,MGRN1,ESRP1,MYH10,STXBP3,KXD1,HOMER2,FBP2,,RPS13,NEK9,TTLL7,,SF3B6,NRSN2,TARS1,,MACROH2A2,EIF2B1,CD53,C1QBP,POP4,NAPA,EIF3J,YAP1,ALPK3,CENPM,,BAIAP2L2,FAM118A,HTR2B,SOS1
WASHC3,FOXP4,DYRK1B,DBN1,PSMD10,LANCL2,TIMM9,GSTZ1,STARD7,YJU2B,NIN,RUSF1,,ATP8B4,WFDC1,MEA1,TM9SF2,,ERGIC3,SYT8,,SPCS1,ATP6V1D,,TRADD,,CEP76,ELMO3,NDRG1,TPT1,ELAPOR1,FKBP8,ZNF106,ACSS2,,AIP,TTLL5,GIPC2,,PPM1G,ZNF133,SLC12A7,,WASHC2A,ENDOU,CASQ1,CPD,CCNE1,RABAC1,SPG11,PPP2R1B,CHAD,DDX17,,RAC2,KCTD17,CYP27A1,ORC2
RNF170,PIM1,PLD3,TIMMDC1,ATG4A,DDC,CHGA,KIAA0586,NOA1,C19orf53,PYGL,FTO,,DTWD1,USP10,SOX4,SOX9,,LRFN3,DGKZ,,DGUOK,PIGH,,ARL2BP,,CEP192,NUTF2,ARMC1,ZNF414,AMPD2,HPN,CEP152,ZNF227,,CHKA,ABCD4,RTCA,,IFIH1,ITPA,ST8SIA4,,MZF1,SPRING1,PRUNE1,DRG2,URI1,GRWD1,ZFAND1,MMP13,TEX2,TCF20,,SPECC1,KCNK10,IGF2BP3,ATF2
CRISPLD1,LRRC1,PRX,CD86,GPR143,JCHAIN,CEP128,TMED8,REST,FAM32A,DDHD1,UQCRC2,,BMF,CRISPLD2,CPNE5,ARMC7,,PRDX5,EIF3M,,KANSL3,GSTZ1,,POLR2C,,SMAD7,NUP93,GSDMD,HSPBP1,ATP5PB,ERF,DTWD1,HACL1,,PSMD9,DLST,KHK,,PCGF1,FAM110A,TRAPPC13,,OCEL1,RFC5,PI4KB,FTSJ3,PDCD5,RAB3D,RIPK2,ALKBH8,DCAF7,RSPH14,,SMO,GZMB,RAC1,PCYOX1
SCPEP1,RIPK1,PIAS4,UBE3A,POLA1,ANKRD17,HIF1A,LGMN,HAL,PPP6R1,CGRRF1,KIFC3,,DNAJC17,TSC2,RIOK1,NT5C,,SBDS,HYOU1,,LMAN2L,ALKBH1,,ZNF821,,RIOK3,NFAT5,GFUS,GIMAP4,ASH1L,GSK3A,TJP1,TBC1D5,,BIN2,PPP4R4,ADCY3,,GRB14,TMEM53,TCERG1,,MYO9B,TBC1D30,ENSA,C17orf75,TIMM50,TMEM205,NBN,NUSAP1,LIMD2,RTCB,,MYO1B,RBM23,TTYH3,KISS1R
TMEM131L,TPMT,YJU2,SLC25A36,NKAP,UNK,EIF5,ALKBH1,GSTP1,ZNF419,PLEK2,ADAMTS18,,SPG11,ZNF500,PHAF1,MSTO1,,STAT5A,OOSP2,,SF3B6,CHGA,,SETD6,,CSTF2,PLLP,ERI1,IPO8,SRM,ZNF85,DNAJC17,RFTN1,,BCL7A,SLIRP,SLC5A6,,HTRA2,LRFN3,DPYSL3,,HSD3B7,TIMELESS,ADAM15,MLX,DYRK1B,BCAT2,DECR1,ITPKA,SCN7A,POLDIP3,,MTX2,AP4S1,CIDEB,ALMS1
PEX16,TAF8,POLR2I,PDCD10,NXT2,EIF5A,TELO2,DHRS7,WBP11,SYDE1,GSTZ1,MAP1LC3B,,SGK3,NME4,UPF3B,PPP1R12C,,IFI6,KIRREL3,,TP53I3,ITPK1,,VAC14,,ATG4A,ZNF821,LEPROTL1,AMPD3,FBXO6,ETHE1,SPG11,SLC6A6,,GLI1,NRDE2,PREPL,,FN1,FLRT1,CNTN3,,SETD1A,COPS7A,EFNA3,ABI3,AKT2,MIER2,NIPAL2,TMEM62,SMPD4,DNAL4,,WDFY4,POLE2,ALPK3,BCL9
PILRB,ARRB1,PRKD2,USP4,MOSPD1,CLEC10A,PCNX1,HIF1A,EIF3I,POP4,TMED8,GNAL,,BRF2,NOMO3,NDUFA1,CCDC93,,EMG1,SIDT2,,FNDC4,PPM1A,,HAS3,,POLA1,USB1,DCTN6,LOXL2,MFN2,AVL9,OIP5,KIF3A,,PPM1H,KLHL29,DTNB,,UNC50,WNK4,SMC4,,BCL7C,ING4,PKLR,PPP1R9B,PIAS4,PLEKHA4,STK3,STRA6,GYPC,LMF2,,DLL4,VCPKMT,CIB2,DNAJC16
ZMYM2,SULF1,CCDC9,GNAI2,AMMECR1,MTSS2,BDKRB1,SUSD6,NCOA1,ANKRD27,ISM2,SLC14A1,,NBN,ANTKMT,FAM193A,SLC25A23,,SIX1,PLCB3,,PDE1A,SUSD6,,TANGO6,,NKAP,CYB5B,R3HCC1,MRO,PLA2G4A,CDK6,BRF2,MGAT1,,METAP2,ATAD2B,KIF20B,,ELMOD3,BECN1,BCL6,,ATP5F1D,USP5,NVL,SGCA,POLR2I,MAST1,EIF3E,IFI44L,SMC2,BIK,,ARPP19,SOS2,RSAD1,MORN1
TBC1D15,SDCBP,BBC3,CBLB,ABCD1,PCNA,GSKIP,EIF5,RAB10,RPS16,LGMN,TP53,,DECR1,FBXO31,MYH2,ALKBH7,,DLGAP5,FAU,,RPS15,TELO2,,WDR59,,PRPS2,NME3,TUSC3,IRAK2,PRAMEF12,NAMPT,CPQ,VPS25,,LTA4H,FKBP1B,ENTPD1,,EFHD1,EMG1,ARL6,,CDC34,ATN1,ETNK2,MRPL27,ZFR2,TFPT,EMC2,RTCA,TMOD1,ARSA,,PALLD,NIN,TEX2,SCP2
ZCCHC17,BUD13,SIGLEC8,BBX,ELF4,DAP3,VRK1,MTHFD1,HADHA,FBL,ITPK1,FN3KRP,,BPNT2,CRYM,GGA3,ATG4C,,TIMM8A,ALDOA,,GALNT3,PCNX1,,MON1B,,MOSPD1,SETD6,ASAH1,CNTN6,WLS,POLR1F,NIPAL2,G6PC1,,ELK3,CUTC,PLCE1,,TXNDC9,ZBTB1,NIT2,,CEP170B,PTPN6,ARL8A,ABCC3,SLC1A5,RPL18A,ESRP1,PREPL,SLC31A1,RASD2,,KIF1C,PYGL,DCAF7,RALGPS2
ZNF639,CTDSPL2,BABAM1,GNB4,SMARCA1,KHDC4,PAPLN,ZC3H14,MAPRE3,DYRK1B,PPM1A,MIEN1,,NIPAL2,EEF2K,PSPN,FOSB,,IPPK,HIRIP3,,POLE4,BDKRB1,,NPRL3,,WDR13,SLC38A7,MAN2B1,KATNBL1,PRDM2,ITGB8,IKBKB,NDUFA2,,MAGOHB,CNNM1,PLA2G12B,,CNPPD1,IPPK,FAM162A,,GADD45B,GOLT1B,GALM,MPP2,ETFB,PIK3R2,NDRG1,CYP2C9,ZNF189,CBX7,,SIGLEC9,GNPNAT1,KCTD3,STXBP3
PIK3CA,NUSAP1,SULT2A1,FRMD4B,FMR1,MMACHC,PSMB5,PCNX1,CAD,AKT2,GALNT16,PFKL,,STK3,CAPN15,OPA3,GZF1,,HIVEP3,FAM124A,,EVA1A,GSKIP,,MLYCD,,STAG2,TANGO6,NUCB1,TSPAN2,WARS2,CBLL1,STK3,UBE2D2,,TRPV4,TCTN3,RPS24,,HPCAL1,FGD3,OGG1,,PALM,LDHB,NAT8,EFNB3,CDC37,ELL,ARMC1,CEP55,GARNL3,ACR,,PARP2,CNIH1,SMPD4,PARK7
RPL21,ITPKA,CDC37,PLXNA1,SCML2,NASP,YY1,GSKIP,CD59,PLD3,CEP128,MVB12A,,EMC2,ZNF174,GZF1,NAPB,,BEST3,WDR17,,LANCL1,VRK1,,WFDC1,,ELF4,COG4,SARS2,VAV3,TSNAX,MTPN,GDAP1,EXOC4,,FOXM1,KANSL1,STAT4,,RMDN2,TRAF2,PDCD10,,SNAP29,CMAS,DQX1,YWHAE,RABAC1,CRTC1,GSDMD,RPS24,ANP32B,RPL3,,RHBDF2,CGRRF1,BIN1,ELAPOR1
NAA60,DUOX1,RABAC1,KLHL18,TAFAZZIN,MUTYH,TRIP11,VRK1,CD82,PIAS4,HIF1A,DPP9,,ESRP1,EARS2,NAPB,CENPB,,PLA2G5,PRSS23,,ELMOD3,PAPLN,,NOMO3,,KCND1,SMPD3,RELB,HMGCS2,C1orf109,GSDME,ESRP1,ACAP3,,GPN3,MSX2,ABI2,,SRSF7,BEST3,GNAI2,,LZTR1,HCFC2,MALL,DPH1,GRWD1,COPE,GFUS,ITPRID2,IL11RA,RBFOX2,,CDKN1C,ATP6V1D,GYPC,AMPD2
RPL5,STRA6,MEGF8,MRPL3,UBL4A,CTNNBL1,PABPN1,PAPLN,WDR47,YJU2,SUSD6,DNMT3L,,CCN4,ELOB,CENPB,FLRT3,,SIN3B,FOXO1,,USP34,PSMB5,,MTHFSD,,FMR1,SLC7A6,PPP1R37,SORT1,RRAGC,ZC3HAV1,NDRG1,PPFIA1,,VPS29,MTHFD1L,HERC6,,SDC1,EMC1,BBX,,CECR2,ST8SIA1,RABL2A,MAP2K6,GRIN2D,KXD1,EEF1D,ABI2,ARHGEF39,TAB1,,KLF16,PIGH,TOR1B,WDR77
ODF2L,BCL2L10,KDELR1,ACVR2B,CD99L2,SERINC3,ARHGAP5,C14orf93,SLC25A24,TBCB,PCNX1,LMTK3,,NDRG1,HMOX2,PSMF1,FAM110A,,GNG13,DHX37,,TXNDC9,YY1,,CLCN7,,EMD,WDR59,PPP1R13L,CD101,NT5C1A,MET,NCALD,WDR44,,DUSP16,PCMT1,HERC5,,SLC1A4,UBR4,GNB4,,SMARCB1,C2CD5,POLR2D,TMEM104,PLPPR2,FKBP8,ERI1,SPPL2A,PIM1,ASCC2,,KCNA5,GSTZ1,SMC2,ATP5PB
HYCC1,GCHFR,GRIN2D,AADAC,EEA1,ATP8A2,SRP54,YY1,MAP3K4,SLC1A5,GSKIP,RNPEPL1,,TRPS1,DNAJA3,NKX2-2,ARMCX5,,MACF1,CACNA1C,,COQ10B,TRIP11,,ANTKMT,,MAGT1,MON1B,ERCC2,VTCN1,MTR,LMBR1,GFUS,CKMT2,,CDKN1B,TASL,RASGEF1B,,KYNU,SLC35E1,FRMD4B,,DERL3,DSE,TMEFF2,TNFAIP1,PLEKHA4,SUGP1,DCTN6,SEMA7A,FRS3,MTMR3,,SH3BP4,KIAA0586,KLF4,CAPZA1
FKBP9,GIPC2,TMEM205,VIPR1,CDK16,USPL1,PRORP,PABPN1,PILRA,CCDC9,PSMC1,SLC2A5,,SPAG1,QPRT,FLRT3,NECAB3,,AAMP,TMEM86A,,WNT6,ARHGAP5,,NUBP1,,RP2,CMC2,PLEKHJ1,YWHAQ,SIPA1L2,DNAJB6,SQLE,ZCCHC9,,LTBR,CENPL,LARP1B,,ORC2,KLF2,SLC41A3,,BCL2L13,SMIM8,DLX1,IFT20,TNPO2,ERF,R3HCC1,ZGRF1,TUBB2A,MYH9,,ELOF1,AHSA1,GARNL3,ASH1L
CCZ1,IFI44,RASIP1,NKTR,RBM3,PEMT,DCAF11,SRP54,ABCB1,SIGLEC8,PAPLN,C1orf216,,NCALD,XYLT1,MGME1,DYNLRB1,,MTERF1,TMEM263,,IL18RAP,CPNE6,,ZNF174,,FGD1,NPRL3,CD37,GRHL1,ACADM,BRAT1,SH2D4A,TOP2A,,OAS3,TCP1,MMRN1,,THADA,PNKD,PLXNA1,,CABIN1,SERINC1,FAM171B,CDR2L,WDR83OS,GSK3A,TUSC3,RASGEF1B,TUBB2B,FOXRED2,,BST2,DAAM1,TRMO,MAD2L2
SMU1,PREPL,WDR83OS,CLCN2,SYTL4,TPT1,EMC9,CPNE6,ZNF213,CEACAM5,ARHGAP5,SYTL1,,SNX16,PYCARD,TMEM74B,ERGIC3,,ZFP36,SLC2A13,,UXS1,DCAF11,,USP31,,SRPX2,ZNF500,OAZ1,ANO3,KDM5B,TSPAN12,INTS10,PPP1R1B,,ARHGDIB,SNX19,NAAA,,KISS1R,RNF6,ABTB1,,SUSD2,TPD52L1,ACKR3,OCIAD1,GCDH,ATP13A1,ARHGEF10,BBS7,IER3,IFT27,,NSUN5,LGMN,IL33,MFN2
CYREN,ATRAID,DNASE2,NEK4,PBDC1,RTN3,REC8,PRORP,CPNE3,BABAM1,PSMA6,ITGB3BP,,GFUS,CDIPT,ARMCX5,TMEM115,,KDR,FAM177A1,,STK16,PSMA6,,HMOX2,,SYTL4,ABCC1,TRMT1,RELCH,UAP1,HIBADH,ERI1,CHD1L,,EIF2B1,ENOX1,NUP54,,PARD3B,PTPN12,PODXL2,,RNF215,HINT3,ANKMY1,USP46,LENG1,ZNF85,KLHDC4,BLTP1,TTC29,SLC25A17,,MRPL34,DHRS7,TMEM8B,PRAMEF12
NUDT10,DTNB,LENG1,ADAM23,RUBCNL,PDZD2,TM9SF1,DCAF11,RRN3,CDC37,NFKBIA,TINAGL1,,SQLE,NOMO1,AMOT,PCID2,,PPAT,ME3,,HDLBP,TM9SF1,,SALL1,,PBDC1,CLCN7,STX10,ANKRD16,ZNHIT6,ABHD11,TUSC3,ZSCAN5A,,CNOT2,KBTBD7,CNOT6L,,BCL9,RBM48,MRPL3,,SEC14L2,UST,DIS3L2,CRACD,PRPF31,ETHE1,MCM4,RAP1GDS1,MYO7A,KCTD17,,LSM7,GALNT16,PIM1,WLS
MED13L,CEP55,JAK3,MOB1A,NALCN,SLC2A11,SEC23A,TM9SF1,CTTN,KDELR1,REC8,KIF2C,,SH2D4A,CCP110,ST3GAL3,LRFN3,,GAL3ST1,FER,,GORASP2,GMPR2,,TOX3,,GLA,NUBP1,TBC1D17,RERG,GBP1,COBL,ARHGEF10,SELENOS,,TIMELESS,EGR1,USO1,,PRRX1,SRD5A3,CISH,,SNRPD3,MAPK14,FANCD2,LAMTOR3,RPL18A,SMG9,BNIP3L,MMRN1,ARRB1,CHADL,,STK33,CEP128,FRS3,BCAS2
CDKN2C,STAT4,ARRDC2,FAHD2A,STK24,GIMAP6,GMPR2,SEC23A,MTIF2,TMEM205,TM9SF1,CASQ1,,ERI1,AAGAB,LRFN3,PDCD2L,,MGAT3,SLC25A31,,SLC1A4,PCIF1,,QPRT,,FNDC3A,EEF2K,YJU2B,PIWIL4,CD46,FKBP14,KLHDC4,LGALS3,,KRR1,MTERF2,ANXA3,,DNAJC16,DGCR8,RRP9,,PES1,PHACTR1,GASK1A,NFKB1,PIK3R2,DNAJC2,MAN2B1,FRAS1,SLCO2B1,RANGAP1,,NDUFA10,SUSD6,UQCC2,CRYZ
WDR83,METTL5,CRTC1,STEAP3,DNAJC3,AGAP3,ABHD12,GMPR2,DDHD2,CAPS,SEC23A,SELENBP1,,LEPROTL1,MTFMT,THRA,PRMT1,,LIF,QDPR,,KYNU,TRPC4AP,,XYLT1,,CAB39L,CAPN15,ASF1B,SPOCD1,PRPF3,GARS1,BNIP3L,RFX1,,ING4,WASHC3,ENPEP,,TMEM59,GNAZ,ABHD14B,,PPM1F,GPR63,ITGA9,TBC1D9,ELL,POLR1F,GYS1,CCNG2,ANKRD42,PHF5A,,CRB3,DICER1,FAM8A1,TTF2
PFDN5,CIR1,DDX49,SF3B6,ARHGEF7,C12orf29,PROCR,RABGGTA,TTC39A,MIER2,GMPR2,ADAM15,,PPP2CB,IGDCC4,PRRG2,PRRG2,,KRT17,RNF144A,,RND3,PYGB,,PYCARD,,STK24,EARS2,VRK3,CDCA8,P3H1,CASP2,GYS1,TRIM21,,CHPT1,SORBS3,HADH,,WRAP73,TST,DNAH1,,CYTH4,CCNC,STAC,GAB1,CRTC1,PON2,PPP1R37,CNOT6L,CREBZF,TRMU,,CAMSAP1,ZC3H14,MYO7A,WARS2
ATG101,ITGAV,LSR,TP53I3,FGF9,DYDC2,UQCC1,NFATC4,EPS15,TNPO2,PCIF1,RAB13,,ERICH1,RAB11A,WNK4,DLGAP5,,LSM8,CCDC122,,ATF2,GINS1,,MAZ,,ARHGEF7,DNAJA3,FAM32A,GNL2,IPO13,PTCD1,RELB,TRIM22,,TPI1,LYPLA1,PPP3CA,,ICMT,EMC4,SSR3,,GRK3,ACOT13,SHQ1,GRPEL1,DDX49,MTPN,ARHGEF18,CENPE,GGH,PMM1,,PAK4,BDKRB1,ARRB1,EXOC8
KBTBD4,USP8,KXD1,OTOF,PARP4,KRAS,ZMYND8,GSS,ORC1,WDR83OS,PYGB,SLC27A3,,TUSC3,TTC23,IFI6,L3HYPDH,,FOXP2,SERP2,,PLEKHA3,NINL,,STX4,,PARP4,RBL2,RASAL3,AGO4,B4GALT2,ZKSCAN1,CLASRP,PER2,,C12orf57,KCNJ8,MAPK8IP3,,STXBP3,ATP6V1F,NKTR,,LGALS2,GMNN,MYH15,CLCN3,FKBP8,TTC26,PPP1R13L,ENPEP,TRPC6,DESI1,,ZNF337,PSMC1,SYTL2,C1orf109
HJURP,SEMA7A,ERF,GTF3C2,MRPS31,IPO8,NFATC2,TRPC4AP,ATG16L1,GCDH,PROCR,CREB3L4,,MCM4,CD276,UXT,HSPA2,,HAT1,PABPC3,,EPHA4,UQCC1,,BCKDK,,MRPS31,CDIPT,ZNF419,TUT4,PIK3R3,SNX8,ARHGEF18,UNK,,PTPN6,CSTA,GABARAPL1,,AMPD2,LSM8,CLCN2,,LGALS1,EYA4,ADPRH,LRP2BP,SUGP1,OGDH,PLEKHJ1,PPP3CA,MMP27,HDAC10,,ATG4D,PAPLN,CREBZF,NT5C1A
AMD1,HERC5,ZNF574,PCGF1,SLC25A15,ELP3,STK4,GINS1,POMGNT1,DNASE2,NINL,SCCPDH,,ECH1,FAH,DLGAP5,PLEKHG3,,ARHGAP22,CCL28,,ALMS1,ZMYND8,,NOMO1,,RGCC,IL21R,SYDE1,APLNR,SLC19A2,NUDT1,PPP1R13L,PRMT7,,GOLT1B,PEX16,KIF21A,,ARHGEF2,PODXL,SPCS1,,HPS4,HECA,TMEM108,UFSP2,HPN,H2AZ2,CD37,ETV6,YAP1,ABHD4,,MAP3K10,ACIN1,PRCP,MTR
KCNJ2,MMRN1,GTPBP10,SPTBN1,KPNA3,MRO,PFDN4,NINL,MAST2,LENG1,SGK2,CEP170,,SARS2,TMEM87A,EVI2A,FAM78A,,CGNL1,BEND6,,RALGPS2,SGK2,,VPS35L,,VWA8,VPS35L,POP4,C5AR2,DPH5,AIMP2,PLEKHJ1,TERF2,,HCFC2,TMEM39B,AEBP2,,IVNS1ABP,FOXP2,ADAM23,,SRRD,PHACTR2,NCEH1,HTATIP2,ERF,CAV2,TRMT1,KIF21A,SLC37A4,SDR39U1,,MED18,EFS,GGH,SIPA1L2
EXOSC9,NAAA,RASA4,DOK1,RGCC,CCNB1,TPD52L2,IFT52,DNAJA1,ARRDC2,IFT52,NVL,,CLPTM1,CEP152,ARMCX1,MAP2K2,,DLL4,SCHIP1,,CEP104,MYBL2,,RNF40,,DGKH,AAGAB,CCNE1,UBAC2,SLC35A3,RBM28,OAZ1,PCNA,,RAB35,CCRL2,ETNK1,,MFN2,STRIP2,MOB1A,,TRIOBP,QKI,DGKQ,CTSC,GSK3A,MET,STX10,SINHCAF,RDX,RBM23,,ZNF317,PRORP,SDCBP,ACADM
COQ8B,NUP54,POLR1F,GALNT3,VWA8,CAMK1,NELFCD,MYBL2,B4GALT1,ELL,R3HDML,ETNK2,,CLASRP,ATP8B4,TIMM8A,FGD3,,CLN6,AP1S3,,MRPL37,NDRG3,,AAGAB,,INTS6,LACTB,PDCD5,ERCC5,RCOR3,AGFG2,SGTA,RIN2,,COL12A1,CCR2,PRICKLE1,,MIIP,DNAJB9,RTKN,,EIF3L,C6orf118,SLC26A1,SC5D,ATP13A1,DNAJB6,YJU2B,AEBP2,FXYD6,POLE2,,MTRFR,DCAF11,SORL1,KDM5B
OBSL1,CNOT6L,ITGB8,POLE4,DGKH,BHLHE40,CTSZ,RIMS4,CHMP5,DDX49,NFATC2,GALM,,PIH1D1,BMF,IPPK,TRAF2,,LOXL1,C18orf25,,PHF13,RAB5IF,,LACTB,,MGRN1,TRIP4,ANKRD27,POGLUT2,NENF,LSM5,VRK3,SYT11,,TDP2,LIAS,C1RL,,WLS,VPS13C,SLC35F5,,PICK1,TBP,GC,HSPA8,ZNF574,BRAT1,PTOV1,ETNK1,MMP13,NIN,,UBE4B,PSMA6,TRPC6,ZNHIT6
FAM124B,B4GALNT3,DUS4L,CCDC88A,DHRS12,EDEM1,TUBB1,STK4,NFX1,LSR,STK4,LIPT1,,PLEKHJ1,DNAJC17,FGD3,ABHD8,,MBD4,CWF19L2,,PARK7,RIMS4,,CD276,,TRADD,IGDCC4,RPS16,CARS2,CENPF,AP1S1,OLFM2,TOE1,,SMIM8,CPXM2,NDUFA9,,RO60,MBD4,ACTR3,,SEPTIN3,TMEM30A,MARCHF6,DTX4,ETHE1,IQCE,SGTA,PRICKLE1,ALKBH8,PYGL,,HABP4,BRMS1L,MMP7,ECE1
SLC12A4,KIF21A,SP4,MRPL19,CLN5,CNTN6,MTG2,PFDN4,EIF2AK1,KXD1,ADNP,AMMECR1L,,OAZ1,VPS18,PPCS,BEST3,,SUMF2,RPP38,,HDAC1,STK4,,FAH,,MAPK3,RAB11A,TIMM50,C9orf40,MTARC2,C1GALT1,ZNF419,MUTYH,,SERINC1,GTF3A,VAMP1,,BCAS2,SPCS3,STEAP3,,KDELR3,VEGFA,SKP2,UNC93B1,SMG9,TSPAN12,TIMM44,KLRG1,ITPKA,DDHD1,,RGN,REC8,SLC37A4,CD46
PLCG1,ETNK1,PALS2,LANCL1,TRADD,DPH6,PSMA7,TPD52L2,SNX10,ERF,TPD52L2,SLC4A10,,STX10,BRF2,TRAF2,IDUA,,TPH1,CAMK4,,GON4L,TPD52L2,,EHD4,,NUTF2,TTC23,FBL,CCNJL,OSBPL9,PLOD3,PDCD5,OSER1,,HDDC2,FYTTD1,PIANP,,AGMAT,TXNDC17,TFCP2L1,,DDX17,SLC29A1,LHFPL2,CPT1A,RASA4,SSBP1,VRK3,PIANP,STRA6,PLEK2,,AKAP12,TM9SF1,FXYD6,P3H1
ARFGEF2,PRICKLE1,GSDME,FANCL,MAPK3,KATNBL1,SLCO4A1,PRPF6,SEPHS1,GSK3A,NELFCD,TMEFF2,,TBC1D17,RIPK2,ABHD8,FGFRL1,,DCTD,RAD17,,IVNS1ABP,TUBB1,,TJP1,,NFAT5,HOMER2,DYRK1B,OASL,MESD,GLCCI1,ANKRD27,SERINC3,,TPD52L1,SASH3,LGR5,,TTF2,KIF1C,TP53I3,,TCF20,TENT5A,GIN1,CCND1,NAMPT,FKBP14,FAM32A,NUP58,BCAR3,PSMA3,,RBM39,SEC23A,SQOR,IPO13
